card_id,amount_mean,amount_std,amount_sum,unique_merchants,most_common_category,activity_span_days,cluster
10000,21412.395035826525,59340.36504587482,170335602.51,487,Utilities & Bill Payments,507,-1
10001,33839.0194,86478.51695286807,28763166.49,153,Unknown,112,-1
10002,11344.696712882727,25329.52126828603,19637670.01,300,Grocery & Food Markets,351,-1
10003,4423.856974443528,9620.604875102215,21464554.04,394,Unknown,513,-1
10004,27729.81702549575,49188.58247999202,9788625.41,64,Unknown,543,-1
10005,19622.04486585366,47231.58379004183,32180153.58,274,Utilities & Bill Payments,90,1
10006,29968.083412462907,55311.580129618684,10099244.11,55,Unknown,597,-1
10007,32287.377500000002,52472.50100323973,2324691.18,13,Unknown,125,1
10008,25614.117687861275,46874.347760112236,4431242.36,30,Unknown,244,-1
10009,23856.062904097646,116631.74584669157,273629041.51,500,Unknown,445,-1
10010,6817.709691912709,35035.68749142055,26554979.25,442,Grocery & Food Markets,73,1
10011,16011.923834126444,111039.6538072656,47107079.92,406,Grocery & Food Markets,56,-1
10012,31575.80720498695,92834.47472268449,108904959.05,398,Utilities & Bill Payments,180,-1
10013,20379.4853337931,61526.497477609344,147751268.67,484,Unknown,612,-1
10014,28288.59810640608,82877.971463909,130268994.28,444,Unknown,166,-1
10015,6611.005521126761,13602.044606503614,2346906.96,64,Unknown,32,-1
10016,19407.914462819892,44929.94704948807,160775163.41,496,Grocery & Food Markets,249,1
10017,29808.204257425743,57489.57742628361,3010628.63,31,Utilities & Bill Payments,135,1
10018,29744.761919504643,36679.06348838689,9607558.1,57,Unknown,47,1
10019,28424.330154862688,118996.01818125129,137659030.94,434,Unknown,156,-1
10020,15838.97012605042,96973.24533204679,11309024.67,152,Grocery & Food Markets,17,-1
10021,29402.01531286211,22233.367981370076,50747878.43,88,Unknown,121,-1
10022,5443.6271542553195,12837.876168749059,32748860.96,432,Unknown,648,-1
10023,23895.623026064844,50831.970239309216,112763445.06,432,Unknown,171,1
10024,16341.490452855467,89487.33393658344,487875197.46999997,500,Pharmacies & Health,679,-1
